groupId'albumId'file'description

// Новая детская верхняя одежда

'175933603'20.jpg'новая зимняя шапка Name It (Финляндия) на мальчика, размер (на бирке указано на рост 74-80), цена 690, р-н Заречье (Комсомольская)
'175933603'26.jpg'Новая зимняя (до -10) шапка Reima, размер 48, Цена 690р, р-н Заречье (Комсомольская)
'175933603'28.jpg'Новая зимняя шапка Kivat на мальчика, размер 1 (1-3 года), Цена 690р, р-н Заречье (Комсомольская)
'175933603'29.jpg'новая зимняя шапка Рейма, р48-50 (1-2 года), 690р, р-н Заречье (Комсомольская)
'175933603'30.jpg'Новая зимняя шапка Bogi на мальчика, размер 47-49, Цена 290р, р-н Заречье (Комсомольская)
